branch_id,branch_name,city,state,region,opened_year
BR0001,AxisOne Branch 1,Ahmedabad,Gujarat,South,2010
BR0002,AxisOne Branch 2,Delhi,Delhi,North,2024
BR0003,AxisOne Branch 3,Mumbai,Maharashtra,East,2016
BR0004,AxisOne Branch 4,Delhi,Delhi,South,1999
BR0005,AxisOne Branch 5,Mumbai,Maharashtra,West,2011
BR0006,AxisOne Branch 6,Mumbai,Maharashtra,South,2000
BR0007,AxisOne Branch 7,Hyderabad,Telangana,North,2024
BR0008,AxisOne Branch 8,Mumbai,Maharashtra,South,2018
BR0009,AxisOne Branch 9,Delhi,Delhi,West,1999
BR0010,AxisOne Branch 10,Jaipur,Rajasthan,North,2015
BR0011,AxisOne Branch 11,Pune,Maharashtra,East,2011
BR0012,AxisOne Branch 12,Pune,Maharashtra,North,2016
BR0013,AxisOne Branch 13,Lucknow,Uttar Pradesh,South,2001
BR0014,AxisOne Branch 14,Jaipur,Rajasthan,East,2001
BR0015,AxisOne Branch 15,Mumbai,Maharashtra,North,2017
BR0016,AxisOne Branch 16,Jaipur,Rajasthan,West,2019
BR0017,AxisOne Branch 17,Hyderabad,Telangana,East,2012
BR0018,AxisOne Branch 18,Bengaluru,Karnataka,East,2007
BR0019,AxisOne Branch 19,Jaipur,Rajasthan,South,2020
BR0020,AxisOne Branch 20,Jaipur,Rajasthan,North,2016
BR0021,AxisOne Branch 21,Lucknow,Uttar Pradesh,West,2008
BR0022,AxisOne Branch 22,Bengaluru,Karnataka,East,2017
BR0023,AxisOne Branch 23,Mumbai,Maharashtra,North,2014
BR0024,AxisOne Branch 24,Hyderabad,Telangana,South,2022
BR0025,AxisOne Branch 25,Ahmedabad,Gujarat,South,2013
BR0026,AxisOne Branch 26,Hyderabad,Telangana,North,2019
BR0027,AxisOne Branch 27,Mumbai,Maharashtra,East,2008
BR0028,AxisOne Branch 28,Ahmedabad,Gujarat,West,2016
BR0029,AxisOne Branch 29,Bengaluru,Karnataka,North,2024
BR0030,AxisOne Branch 30,Mumbai,Maharashtra,East,2013
BR0031,AxisOne Branch 31,Mumbai,Maharashtra,North,2021
BR0032,AxisOne Branch 32,Lucknow,Uttar Pradesh,West,2007
BR0033,AxisOne Branch 33,Hyderabad,Telangana,East,1998
BR0034,AxisOne Branch 34,Bengaluru,Karnataka,East,2003
BR0035,AxisOne Branch 35,Mumbai,Maharashtra,West,1999
BR0036,AxisOne Branch 36,Jaipur,Rajasthan,East,2002
BR0037,AxisOne Branch 37,Jaipur,Rajasthan,West,2010
BR0038,AxisOne Branch 38,Bengaluru,Karnataka,North,2003
BR0039,AxisOne Branch 39,Bengaluru,Karnataka,West,2015
BR0040,AxisOne Branch 40,Lucknow,Uttar Pradesh,South,2024
BR0041,AxisOne Branch 41,Hyderabad,Telangana,East,2020
BR0042,AxisOne Branch 42,Hyderabad,Telangana,East,2019
BR0043,AxisOne Branch 43,Hyderabad,Telangana,South,2002
BR0044,AxisOne Branch 44,Mumbai,Maharashtra,South,2002
BR0045,AxisOne Branch 45,Jaipur,Rajasthan,South,1998
BR0046,AxisOne Branch 46,Bengaluru,Karnataka,South,2006
BR0047,AxisOne Branch 47,Lucknow,Uttar Pradesh,North,2002
BR0048,AxisOne Branch 48,Hyderabad,Telangana,East,2017
BR0049,AxisOne Branch 49,Ahmedabad,Gujarat,South,2020
BR0050,AxisOne Branch 50,Delhi,Delhi,West,2022
BR0051,AxisOne Branch 51,Hyderabad,Telangana,West,2010
BR0052,AxisOne Branch 52,Hyderabad,Telangana,North,2013
BR0053,AxisOne Branch 53,Hyderabad,Telangana,North,2004
BR0054,AxisOne Branch 54,Mumbai,Maharashtra,South,2012
BR0055,AxisOne Branch 55,Pune,Maharashtra,North,2008
BR0056,AxisOne Branch 56,Delhi,Delhi,North,1998
BR0057,AxisOne Branch 57,Pune,Maharashtra,North,2009
BR0058,AxisOne Branch 58,Delhi,Delhi,North,2004
BR0059,AxisOne Branch 59,Hyderabad,Telangana,South,2018
BR0060,AxisOne Branch 60,Lucknow,Uttar Pradesh,East,2017
BR0061,AxisOne Branch 61,Ahmedabad,Gujarat,West,2001
BR0062,AxisOne Branch 62,Mumbai,Maharashtra,West,2012
BR0063,AxisOne Branch 63,Bengaluru,Karnataka,West,2007
BR0064,AxisOne Branch 64,Mumbai,Maharashtra,South,2001
BR0065,AxisOne Branch 65,Ahmedabad,Gujarat,East,2013
BR0066,AxisOne Branch 66,Pune,Maharashtra,North,2004
BR0067,AxisOne Branch 67,Ahmedabad,Gujarat,South,2020
BR0068,AxisOne Branch 68,Delhi,Delhi,East,2018
BR0069,AxisOne Branch 69,Mumbai,Maharashtra,East,2014
BR0070,AxisOne Branch 70,Ahmedabad,Gujarat,South,2009
BR0071,AxisOne Branch 71,Jaipur,Rajasthan,East,2018
BR0072,AxisOne Branch 72,Jaipur,Rajasthan,South,2023
BR0073,AxisOne Branch 73,Jaipur,Rajasthan,West,2021
BR0074,AxisOne Branch 74,Jaipur,Rajasthan,South,2014
BR0075,AxisOne Branch 75,Bengaluru,Karnataka,East,2021
BR0076,AxisOne Branch 76,Delhi,Delhi,North,2023
BR0077,AxisOne Branch 77,Lucknow,Uttar Pradesh,West,2006
BR0078,AxisOne Branch 78,Jaipur,Rajasthan,East,2012
BR0079,AxisOne Branch 79,Ahmedabad,Gujarat,East,2000
BR0080,AxisOne Branch 80,Jaipur,Rajasthan,North,2005
